Relatório de Desempenho do Servidor
===========================================================
Timestamp, CPU Usage (%), Memory Usage (KB)
2025-02-17 18:42:52, 0, 14354792
2025-02-17 18:42:57, 2.91897, 14342704
2025-02-17 18:43:02, 8.94472, 14348692
2025-02-17 18:43:07, 3.11089, 14334308
2025-02-17 18:43:12, 4.0201, 14344976
2025-02-17 18:43:17, 3.66282, 14346772
2025-02-17 18:43:22, 17.4547, 14525368
2025-02-17 18:43:27, 37.3808, 14899448
2025-02-17 18:43:32, 60.1805, 15069600
2025-02-17 18:43:37, 42.1765, 15489740
2025-02-17 18:43:42, 46.2739, 15689980
2025-02-17 18:43:47, 61.3876, 15988528
2025-02-17 18:43:52, 90.9955, 15813640
2025-02-17 18:43:57, 100, 15944944
2025-02-17 18:44:02, 100, 15922968
2025-02-17 18:44:07, 100, 15723412
2025-02-17 18:44:12, 100, 15670648
2025-02-17 18:44:17, 100, 15706332
2025-02-17 18:44:22, 100, 15688540
2025-02-17 18:44:27, 80.4304, 15714628
2025-02-17 18:44:32, 31.3913, 14285744
2025-02-17 18:44:37, 3.76884, 14274292
2025-02-17 18:44:42, 2.60782, 14284248
2025-02-17 18:44:47, 3.6665, 14272216
2025-02-17 18:44:52, 3.25651, 14255204
