Timestamp, CPU Usage (%), Memory Usage (KB)
2025-02-14 19:25:43, 0, 15898184
2025-02-14 19:25:48, 9.71457, 15884504
2025-02-14 19:25:53, 18.6841, 16019500
2025-02-14 19:25:58, 34.6231, 16005880
2025-02-14 19:26:03, 29.3763, 16061692
2025-02-14 19:26:08, 29.8492, 16061572
2025-02-14 19:26:13, 30.5332, 16037760
2025-02-14 19:26:18, 29.0241, 15971772
2025-02-14 19:26:23, 31.1558, 15998788
2025-02-14 19:26:28, 29.1729, 16004544
2025-02-14 19:26:33, 30.1205, 14580220
2025-02-14 19:26:38, 3.96189, 14542836
2025-02-14 19:26:43, 4.01003, 14568832
2025-02-14 19:26:48, 3.81335, 14564200
2025-02-14 19:26:53, 3.82679, 14533652
2025-02-14 19:26:58, 3.46212, 14531080
2025-02-14 19:27:03, 4.11853, 14538868
2025-02-14 19:27:08, 4.72599, 14554620
2025-02-14 19:27:13, 4.22748, 14528468
2025-02-14 19:27:18, 3.26797, 14539304
2025-02-14 19:27:23, 7.30847, 14555044
2025-02-14 19:27:28, 3.05918, 14559936
2025-02-14 19:27:33, 4.1604, 14574444
2025-02-14 19:27:38, 2.70812, 14550332
2025-02-14 19:27:43, 4.12475, 14569888
2025-02-14 19:27:48, 1.65829, 14577500
2025-02-14 19:27:53, 3.62355, 14575340
2025-02-14 19:27:58, 3.30993, 14556888
2025-02-14 19:28:03, 5.11278, 14557532
2025-02-14 19:28:08, 3.713, 14549308
2025-02-14 19:28:13, 3.91566, 14554580
2025-02-14 19:28:18, 3.15789, 14570248
2025-02-14 19:28:23, 3.7594, 14558568
2025-02-14 19:28:28, 2.80702, 14564360
2025-02-14 19:28:33, 2.81549, 14549208
2025-02-14 19:28:38, 3.31825, 14512256
2025-02-14 19:28:43, 2.70541, 14520644
2025-02-14 19:28:48, 3.57143, 14535248
2025-02-14 19:28:53, 1.90476, 14537064
2025-02-14 19:28:58, 4.41545, 14527072
2025-02-14 19:29:03, 3.71673, 14551616
2025-02-14 19:29:08, 4.72125, 14535952
2025-02-14 19:29:13, 3.31658, 14530184
2025-02-14 19:29:18, 4.41103, 14539320
2025-02-14 19:29:23, 3.02267, 14528868
2025-02-14 19:29:28, 3.65915, 14509796
2025-02-14 19:29:33, 10.5475, 14550868
2025-02-14 19:29:38, 13.1379, 14698400
2025-02-14 19:29:43, 9.01309, 14729980
2025-02-14 19:29:48, 5.4829, 14755364
2025-02-14 19:29:53, 3.78597, 14716724
2025-02-14 19:29:58, 4.321
