usuario,algoritmo,dataInicio,dataFim,tamanho,numIteracoes,path,tempo
Heidi2961,2,2025-02-14 19:21:35,2025-02-14 19:21:37,900,1,./server_files/imgs/20250214_192137.png,1.37669
Tina1727,1,2025-02-14 19:26:16,2025-02-14 19:26:33,3600,3,./server_files/imgs/20250214_192633.png,17.0136
Laura1928,2,2025-02-17 09:59:00,2025-02-17 09:59:01,900,1,./server_files/imgs/20250217_095901.png,1.71961
Alice8291,1,2025-02-17 10:07:06,2025-02-17 10:07:23,3600,3,./server_files/imgs/20250217_100723.png,16.6808
Michael1216,2,2025-02-17 10:19:39,2025-02-17 10:19:41,900,1,./server_files/imgs/20250217_101941.png,1.64872
Charlie3491,2,2025-02-17 10:49:46,2025-02-17 10:49:56,900,20,./server_files/imgs/20250217_104956.png,9.48866
Rachel8114,1,2025-02-17 10:53:11,2025-02-17 10:54:21,3600,20,./server_files/imgs/20250217_105421.png,70.4203
Eve6707,2,2025-02-17 11:16:17,2025-02-17 11:16:18,900,1,./server_files/imgs/20250217_111618.png,1.41482
Michael3700,2,2025-02-17 11:18:58,2025-02-17 11:18:59,900,1,./server_files/imgs/20250217_111859.png,1.36333
Pamela6068,2,2025-02-17 11:20:10,2025-02-17 11:20:11,900,1,./server_files/imgs/20250217_112011.png,1.36396
Alice6670,2,2025-02-17 11:21:41,2025-02-17 11:21:42,900,1,./server_files/imgs/20250217_112142.png,1.34897
Kevin9690,1,2025-02-17 11:22:52,2025-02-17 11:23:12,3600,4,./server_files/imgs/20250217_112312.png,19.9856
Eve9082,1,2025-02-17 11:32:16,2025-02-17 11:32:36,3600,4,./server_files/imgs/20250217_113236.png,19.9529
Bob1688,1,2025-02-17 11:33:16,2025-02-17 11:33:32,3600,3,./server_files/imgs/20250217_113332.png,16.8401
Tina8863,2,2025-02-17 11:33:41,2025-02-17 11:33:42,900,1,./server_files/imgs/20250217_113342.png,1.34061
Michael1980,1,2025-02-17 11:33:42,2025-02-17 11:34:02,3600,4,./server_files/imgs/20250217_113402.png,20.0583
Charlie3715,2,2025-02-17 11:36:00,2025-02-17 11:36:01,900,1,./server_files/imgs/20250217_113601.png,1.17089
Eve6163,2,2025-02-17 11:36:01,2025-02-17 11:36:02,900,1,./server_files/imgs/20250217_113602.png,1.39999
Michael7518,2,2025-02-17 11:36:03,2025-02-17 11:36:04,900,1,./server_files/imgs/20250217_113604.png,1.47778
Oliver9180,2,2025-02-17 11:36:03,2025-02-17 11:36:05,900,1,./server_files/imgs/20250217_113605.png,1.42955
Pamela9927,2,2025-02-17 11:36:05,2025-02-17 11:36:06,900,1,./server_files/imgs/20250217_113606.png,1.45509
Heidi5122,2,2025-02-17 11:36:05,2025-02-17 11:36:07,900,1,./server_files/imgs/20250217_113607.png,1.42709
